primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Gatlinburg,Sevier County,37738,Old Knox high way,Smoky Mountain Farmers Market,Gatlinburg Farmers Market,,,NA, ,4LB5zbXYF0H9a8KoQBgH1z,,Smoky Mountain Farmers Market,AR
Clarksville,Montgomery County,37042,unsure,Unsure,Unsure,,,NA, ,4LNNrjfADOXUZgqRxouug9,,Unsure,
Parsons,Decatur County,38363,Unsure,Unsure,Unsure,,,NA, ,4LUWD0usKeQTA2yymT2NRa,,Unsure,
Crossville,Cumberland County,38555,mid town,Unsure,Not Farmers Market,Mid town,Unsure,Unsure,Unsure,4LcWqOiCL19awIXXmoxm2w,,,
Madisonville,Monroe County,37354,Madisonville Farmers Market ,Madisonville Farmers Market,Madisonville Farmers Market,Madisonville Farmers Market,Madisonville Farmers Market,Madisonville Farmers Market,Madisonville Farmers Market,4MpczQx9R6gNJHRZcUqixI,,Madisonville Farmers Market,
Hohenwald,Lewis County,38462,Unsure,Unsure,Unsure,Smith st,Coach's Corner Farmers Market,NA,Coach's Corner Farmers Market,4N36aTHjfDADM8HYUMtRTT,AR,Unsure,
Knoxville,Knox County,37918,Central Ave,Three Rivers Farmers Market,Three Rivers Farmers Market,Central Ave. Is the location,Three Rivers Farmers Market,Three Rivers Farmers Market,Three Rivers Farmers Market,4NKeB4mXA1WHXb17ym7T4P,,Three Rivers Farmers Market,
Nashville,Davidson County,37208,Charlotte Ave,Richland Farmers Market,Richland Park Farmers Market,Richland,Richland Farmers Market,Richland Farmers Market,Richland Farmers Market,4O2TZvwohxn3FlcMeFctVk,,,
Memphis,Shelby County,37501,Unsure,Unsure,Unsure,Cordova,Cordova International Farmers Market,Cordova International Farmers Market,Cordova International Farmers Market,4OOjxFuuhVPwJqrK2Bg4ts,,Unsure,
Knoxville,Knox County,37901,Unsure,Unsure,Unsure,Knowxville,,Market Square Farmers Market,Market Square Farmers Market,4OSoWLbCXELSQta9mwONYc,SP,Unsure,
Madison,Davidson County,37115,Moss Wright ,Goodlettsville Farmers Market,Madison Creek Farms,Moss Wright Park,Goodlettsville Farmers Market,Madison Creek Farms,Goodlettsville Farmers Market,4OaLFwfyod1kD2x6T9MTeD,AR,Goodlettsville Farmers Market,AR
Nashville,Davidson County,37211,Nashville farmer's market.,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmer's market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,4OaqYRArnigSslvbQQBUv2,,Nashville Farmers Market,
Chapel Hill,Marshall County,37034,Henry Horton park on hiway 31a,Henry Horton Farmers Market,Henry Horton Farmers Market,He dry Horton park  4 Saturday mo,Henry Horton Farmers Market,Henry Horton Farmers Market,Henry Horton Farmers Market,4PdBz3qEij2SoiVjPE9djP,,Henry Horton Farmers Market,
Shelbyville,Bedford County,37160,Unsure,Unsure,Unsure,,,NA, ,4PsQT7BplWczssFH7rAIsi,,Unsure,
Selmer,McNairy County,38375,Hwy 64,Selmer Farmers Market,Unsure,Selmer market,Selmer Farmers Market,Selmer Farmers Market,Selmer Farmers Market,4QK84Lt2QdK4JOH9EXpz1e,,Selmer Farmers Market,AR
Dickson,Dickson County,37055,Dickson,Dickson County Farmers Market,Dickson County Farmers Market,Dickson,Dickson County Farmers Market,Dickson County Farmers Market,Dickson County Farmers Market,4QOkqxMzDQHB1v5YjByMbd,,Dickson County Farmers Market,
Murfreesboro,Rutherford County,37129,Unsure,Unsure,Unsure,Murfreesboro ,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,4QcBS3BUVlrCL9PdshMrgy,,Unsure,
La Follette,Campbell County,37766,2440 long hollow rd,Not a farmers market,Not Farmers Market,Shellys fresh produce ,Not Farmers Market,Not Farmers Market,Not Farmers Market,4QrPpYFEUnLf0XBMVVqRtc,,,
La Follette,Campbell County,37766,Unsure,Unsure,Unsure,,,NA, ,4QuRPK4JcaSYnp3zHbc4RZ,,Unsure,
Whiteville,Hardeman County,38075,Brownsville ,Brownsville Farmers Market,Brownsville Farmers Market,,,NA, ,4RNelTdHzMTF7Bgy4eu5jT,,Brownsville Farmers Market,
Antioch,Davidson County,37013,Unsure ,Unsure,Unsure,Red ,Unsure,Red Barn Produce,Red Barn Produce,4RVpF52tCs4ANq25o0DVSi,SP,Unsure,
Sevierville,Sevier County,37862,Unsure ,Unsure,Unsure,,,NA, ,4Rd18Zzq8F8cAEBFS7ZIFw,,Unsure,
Millington,Shelby County,38053,sprouts,Not a farmers market,Not Farmers Market,sprouts,Not Farmers Market,Millington Farmers Market,Not Farmers Market,4RmTCgUYkw3WaGbwI9IFRD,AR,,
Antioch,Davidson County,37013,tennesse,,Unsure,amazon,Not Farmers Market,Not Farmers Market,Not Farmers Market,4Rtosl88jOlrNiXwsDWDRk,,,
Memphis,Shelby County,38104,unsure,Unsure,Unsure,IDN it is in down town Memphis,,Memphis Farmers Market,Memphis Farmers Market,4S9LA08ToLH19FVnnZT2kM,SP,Unsure,
Madison,Davidson County,37115,Unsure,Unsure,Unsure,,,NA, ,4SLXsclTlPBtOtbH0rg5wB,,Unsure,
Knoxville,Knox County,37923,Unsure,Unsure,Unsure,,,NA, ,4SrLId27udZ4wXDdCJBKwU,,Unsure,
Big Sandy,Benton County,38221,Unsure ,Unsure,Unsure,Farmers market at cashsaver,Not Farmers Market,Not Farmers Market,Not Farmers Market,4Sx3M5407DqrwPbeNtAjpS,,Unsure,
Maryville,Blount County,37801,Unsure ,Unsure,Unsure,Farm's ,Unsure,Maryville Farmers Market,Maryville Farmers Market,4T6WWCxfaxI9MEbOWAyV61,SP,Unsure,
Springfield,Robertson County,37172,Unsure,Unsure,Unsure,,,NA, ,4ThuEtC1eoClp7KtamqkM0,,Unsure,
Sevierville,Sevier County,37876,Unsure,Unsure,Unsure,ItÃ¢ÂÂs in the co op parking area ,Smoky Mountain Farmers Market,Sevierville Farmers Market,Smoky Mountain Farmers Market,4U7W7KLLZJYtY9SwXjWaIG,AR,Unsure,
Parrottsville,Cocke County,37843,Unsure,Unsure,Unsure,,,NA, ,4UKjzbfLwP4nNtfypGVFa9,,Unsure,
Murfreesboro,Rutherford County,37129,Unsure ,Unsure,Unsure,,,NA, ,4UojQYhvfxatackS9pwZMb,,Unsure,
,,42206,Unsure ,Unsure,,Farmers market on the square ,Market Square Farmers Market,,Market Square Farmers Market,4UuxhlQrzaSHXCdLDjRfGp,AR,,
Nashville,Davidson County,37211,unsure,Unsure,Unsure,,,NA, ,4VKQLB5pd0aLXIRw4mEgF3,,Unsure,
Knoxville,Knox County,37918,Unsure,Unsure,Unsure,Union County ,Union County Farmers Market,Union County Farmers Market,Union County Farmers Market,4WDFOAVCYsuqtPkprfka3R,,Unsure,
Old Hickory,Davidson County,37138,Unsure ,Unsure,Unsure,Nashville farmer market ,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,4WFgqaYwQAvNwtJMu63g66,,Unsure,
,,38655,north lamar,Unsure,,north lamar,Unsure,,,4X9yb3MjzZuqS12n456rIv,,,
Memphis,Shelby County,38108,cordova international farmers market,Cordova International Farmers Market,Cordova International Farmers Market,cordova international farmers market,Cordova International Farmers Market,Cordova International Farmers Market,Cordova International Farmers Market,4XR6EZaGv1zuJ9AF02NAHn,,Cordova International Farmers Market,
Talbott,Hamblen County,37877,Unsure ,Unsure,Unsure,Buffalo trail,Buffalo Trail Orchard,Buffalo Trail Orchard,Buffalo Trail Orchard,4XV2lvliMScQNY5jkRMXvI,,Unsure,
Jamestown,Fentress County,38556,Pennys produce ,Penny's Garden Spot,Not Farmers Market,PennyÃ¢ÂÂs produce ,Penny's Garden Spot,Not Farmers Market,Penny's Garden Spot,4YE9Zlwqabe2zf1EJrISBU,AR,Penny's Garden Spot,AR
Maryville,Blount County,37803,unsure ,Unsure,Unsure,,,NA, ,4YadiuO1LtgoyhVKtVPUSK,,Unsure,
Carthage,Smith County,37030,unsure,Unsure,Unsure,,,NA, ,4Yc2eau5liEkrGtbUstZ5a,,Unsure,
Knoxville,Knox County,37931,Unsure,Unsure,Unsure,,,NA, ,4Yqdvi8PBSpD59i0WkH8QI,,Unsure,
Manchester,Coffee County,37355,Hillsboro blvd,Bains Orchard,Coffee County Farmers Market,Dostons farmer market,Not Farmers Market,Dotson's Produce and Greenhouse,Dotson's Produce and Greenhouse,4YsqfxOPBypzl5i4KScZVG,SP,Bains Orchard,AR
Knoxville,Knox County,37922,Unsure,Unsure,Unsure,,,NA, ,4ZP3q6UpADEUMYfIX1xvmk,,Unsure,
Nashville,Davidson County,37207,Farmers market ,,Nashville Farmers Market,,,NA, ,4aFcogmSXOrvGa7RnwekYb,,Nashville Farmers Market,SP
Morristown,Hamblen County,37813,Unsure,Unsure,Unsure,,,NA, ,4aMMOxkawjbdsBjbjjsMze,,Unsure,
,,40823,Good city ,Not a farmers market,,,,, ,4aeY15NHepNh6UF2kV3tD6,,,
New Market,Jefferson County,37820,New market ,Not a farmers market,Not Farmers Market,New market ,Not Farmers Market,Not Farmers Market,Not Farmers Market,4ajVY6XaLei7LKizHvZfYy,,,
Covington,Tipton County,38019,Unsure ,Unsure,Unsure,Memphis international farmers market ,Cordova International Farmers Market,Cordova International Farmers Market,Cordova International Farmers Market,4avCpCU42RwuXrzNEVxJ03,,Unsure,
Memphis,Shelby County,38114,Union ,Not a farmers market,Not Farmers Market,Union ,Not Farmers Market,Not Farmers Market,Not Farmers Market,4b4AmHfDXX3K58d74DH8Cv,,,
Cordova,Shelby County,38018,Agricenter,Agricenter Farmers Market,Agricenter Farmers Market,Downtown Memphis,Memphis Farmers Market,Memphis Farmers Market,Memphis Farmers Market,4bUqnXE6FKwXdnUyLZ8mdI,,Agricenter Farmers Market,
Lewisburg,Marshall County,37091,Farmers marker. 1st avenue  in Lewisburg tn ,Marshall County Farmers Market,Henry Horton Farmers Market,Its just called farmers market. On 1st ave in Lewisburg tn ,Marshall County Farmers Market,Marshall County Farmers Market,Marshall County Farmers Market,4bZkJ0gN3T9yAgm1spXGXn,,Marshall County Farmers Market,AR
Columbia,Maury County,38401,Unsure,Unsure,Unsure,Muletown ,Unsure,Not Farmers Market,,4cZG14vOtnpGGDyF4EppAO,,Unsure,
Manchester,Coffee County,37355,Unsure,Unsure,Unsure,County Farmer's Market,Coffee County Farmers Market,Coffee County Farmers Market,Coffee County Farmers Market,4coZaO8mxB1nIPlFsjgQma,,Unsure,
Estill Springs,Franklin County,37330,Unsure ,Unsure,Unsure,No name,,NA,,4d2Y4mF8Zic9genc3y5nSr,,Unsure,
Wartburg,Morgan County,37887,Joyner Market Stand,Not a farmers market,Unsure,,,NA, ,4d2mUZD7MwAFoqi0Tv78FI,,,
Knoxville,Knox County,37909,Unsure,Unsure,Unsure,Dandridge Farmers Market,Dandridge Farmers Market,Dandridge Farmers Market,Dandridge Farmers Market,4d4t8FQDs4zdch4Asx3Pgt,,Unsure,
Brighton,Tipton County,38011,Covington Square,Covington Farmers Market,Covington Farmers Market,ItÃ¢ÂÂs on the Covington square ,Covington Farmers Market,Covington Farmers Market,Covington Farmers Market,4d7JcNaCV9N2arZtuKSAHv,,Covington Farmers Market,
,,38655,Unsure,Unsure,,,,, ,4dMY5qdxvHkbxNAOuS733i,,Unsure,
Memphis,Shelby County,38128,Unsure,Unsure,Unsure,,,NA, ,4dXZkb2AkjMnfYS5D35nQO,,Unsure,
Memphis,Shelby County,38127,SuperLo,Not a farmers market,Not Farmers Market,,,NA, ,4dmRaVrkcZnqLkdncalwtL,,,
Arlington,Shelby County,38002,Bartlett blvd,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Bartlett,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Bartlett Station Farmers Market,4duMR14YeC23HJK6b2ogpx,,Bartlett Station Farmers Market,
Knoxville,Knox County,37909,Harvest park,New Harvest Farmers Market,New Harvest Farmers Market,Harvest Park ,New Harvest Farmers Market,New Harvest Farmers Market,New Harvest Farmers Market,4eTTYkaLjhdPK4OzjUcNNx,,New Harvest Farmers Market,
Springfield,Robertson County,37172,Whites Creek Pike,Whites Creek Organic Farmers Market,Whites Creek Organic Farmers Market,,,NA, ,4fFk4QWdcPkP8VyquavvbZ,,Whites Creek Organic Farmers Market,
Antioch,Davidson County,37011,Cookeville tn,Unsure,Cookeville Farmers Market,,,NA, ,4fQFevwofoHVaEoS2RwneI,,,
Cordova,Shelby County,38018,Unsure,Unsure,Unsure,,,NA, ,4fXRgfftlfSBXHwHAB638r,,Unsure,
Madison,Davidson County,37115,Unsure ,Unsure,Unsure,,,NA, ,4fpT1XKqvXVBFroKXyf6dT,,Unsure,
Knoxville,Knox County,37921,Market square,Market Square Farmers Market,Market Square Farmers Market,Whole Foods halls,,Not Farmers Market,,4g5QrriXB7ALgbVTDEyi9g,,Market Square Farmers Market,
,,72390,None ,Unsure,,None ,Unsure,,,4gLpNulvgMsJdLw5SXcML1,,,
,,38611,BYHALIA FARMERS MARKET,Not a farmers market,,BYHALIA FARMERS MARKET,Not Farmers Market,,,4gNoPTKXLs6dBK0phopfxY,,,
Alamo,Crockett County,38001,unsure,Unsure,Unsure,Maury City,Crockett Farmers Market,Crockett Farmers Market,Crockett Farmers Market,4gydNse2w7T0afMMpjC0Il,,Unsure,
Seymour,Sevier County,37865,Sutherland ave,Farm Fresh Produce,Farm Fresh Produce,Sutherland,Farm Fresh Produce,Farm Fresh Produce,Farm Fresh Produce,4h36a3fMzNyjSFXP4bJGct,,Farm Fresh Produce,
Munford,Tipton County,38058,unsure,Unsure,Unsure,,,NA, ,4i0VStvNdyPynVXlbtTUKN,,Unsure,
Brentwood,Williamson County,37027,unsure,Unsure,Unsure,,,NA, ,4iVti2HCJhGsX8BWgDBo4u,,Unsure,
Carthage,Smith County,37030,Unsure ,Unsure,Unsure,,,NA, ,4iy9VYZVn5TQbyIRhcMTQ5,,Unsure,
Morristown,Hamblen County,37813,Unsure ,Unsure,Unsure,,,NA, ,4jD0B3sAbB4iZSAECxFvrF,,Unsure,
Arlington,Shelby County,38002,Jones farmers market on Singleton Parkway.,Jones Orchard,Jones Orchard,Scott street farmers market. And Jones farmers market.,Scott County Farmers Market,Not Farmers Market,Scott County Farmers Market,4jEaQdNertLC4VEn1xNwBC,AR,Jones Orchard,
Spring Hill,Williamson County,37174,Harvest farms,Not a farmers market,Not Farmers Market,Kroger,Not Farmers Market,Not Farmers Market,Not Farmers Market,4jMH4ki5bd8P9bq6ar4TYl,,,
Rocky Top,Anderson County,37769,Idk,Unsure,Unsure,,,NA, ,4jQv5gzgNve1eZ7P0gpoQ9,,Unsure,
Brentwood,Williamson County,37027,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,4jVALERFDMQNBSbhbPlcVi,,Nashville Farmers Market,
Cookeville,Putnam County,38506,Unsure,Unsure,Unsure,Malco's Farms,Not Farmers Market,Malco Produce Farm,Malco Produce Farm,4kCklcA259IR7UVVNnRorM,SP,Unsure,
Memphis,Shelby County,38135,Bartlett,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Bartlett,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Bartlett Station Farmers Market,4kGqglPdYXBoNQzu7fsPJQ,,Bartlett Station Farmers Market,
Paris,Henry County,38242,Fairground Rd,Henry County Farmers Market,Not Farmers Market,,,NA, ,4kQ0wBYYlarU8d2Hb2eJpv,,Henry County Farmers Market,AR
Memphis,Shelby County,38111,Union,Not a farmers market,Not Farmers Market,Whole Foods ,Not Farmers Market,Not Farmers Market,Not Farmers Market,4kQ9kbe837koFZrPc0eRX1,,,
Nashville,Davidson County,37216,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,4kVDwYAMZblohArRoCjviG,,Unsure,
Summertown,Lawrence County,38483,No,,Unsure,No,,NA,,4lcY5rDf3WIH1a4N4iRBSZ,,,
Morristown,Hamblen County,37814,Buffalo trail,Buffalo Trail Orchard,Buffalo Trail Orchard,Buffalo trail,Buffalo Trail Orchard,Buffalo Trail Orchard,Buffalo Trail Orchard,4lhiHLOwSLAFfZHCjK3wiZ,,Buffalo Trail Orchard,
Memphis,Shelby County,38108,Excellent quality ,Unsure,NA,Excellent quality ,Unsure,NA,,4loHfkuUVx5UiWuIxzoLoR,,,
Hendersonville,Sumner County,37075,Unsure ,Unsure,Unsure,8th Avenue ,Not Farmers Market,Vanderbilt Farmers Market,,4mFNrnfSn8qHwQZg0LLvsS,0,Unsure,
Memphis,Shelby County,38109,Unsure,Unsure,Unsure,,,NA, ,4mQpsXAcY3d97BbRpi9jBZ,,Unsure,
Clarksville,Montgomery County,37043,Unsure,Unsure,Unsure,,,NA, ,4mkRH5lB9OzHGKvWCCo9LY,,Unsure,
Memphis,Shelby County,38125,Winchester and Kirby Parkway,Overton Park Community Farmers Market,Winchester Farmers Market,,,NA, ,4nOhgaCKXlp75ASerM2Vj1,,Overton Park Community Farmers Market,AR
Memphis,Shelby County,38108,unsure,Unsure,Unsure,Farmers market,Unsure,Memphis Farmers Market,Memphis Farmers Market,4nUFVZgcTaEU05GsM4KSxh,SP,Unsure,
Sparta,White County,38583,unsure,Unsure,Unsure,,,NA, ,4neq2phZ26L1FV7vbEqQTj,,Unsure,
Milan,Gibson County,38358,Unsure,Unsure,Unsure,,,NA, ,4nhCoCPIf9FxcNpEPLoceX,,Unsure,
Memphis,Shelby County,38127,Germantown Pkwy,Cordova International Farmers Market,Farm Park Farmers Market,Germantown Farmer's Market,Cordova International Farmers Market,Farm Park Farmers Market,Cordova International Farmers Market,4nj20vnK3FIYl8ziWfmMzC,AR,,
Nashville,Davidson County,37208,tennessee ,,NA,tennessee ,,NA,,4o4s9i8svQHUkDOkCAdh3I,,,
Shelbyville,Bedford County,37160,Unsure ,Unsure,Unsure,Lewisburg farmers market ,N/A,Marshall County Farmers Market,Marshall County Farmers Market,4o7vgn4UuqAOeIW5ImybUI,SP,Unsure,
Memphis,Shelby County,38116,Unsure ,Unsure,Unsure,,,NA, ,4o9nEzhCyH8U6RLOjUixk4,,Unsure,
Memphis,Shelby County,38109,Unsure ,Unsure,Unsure,Farmers Market on Winchester Road ,Winchester Farmers Market,Winchester Farmers Market,Winchester Farmers Market,4owdOACFg64ODBjqnpE461,,Unsure,
Oliver Springs,Roane County,37840,Unsure ,Unsure,Unsure,,,NA, ,4pStQAvKIHlvKioqDvlIai,,Unsure,
Knoxville,Knox County,37909,Local Market,Unsure,Market Square Farmers Market,Local Market,Unsure,Not Farmers Market,,4pXSGsrR7awvpCCgvdowoh,,,
La Follette,Campbell County,37766,Unsure,Unsure,Unsure,,,NA, ,4pYTISCSExMZLvYex5eePW,,Unsure,
Memphis,Shelby County,38125,unsure,Unsure,Unsure,agricenter ,Agricenter Farmers Market,Agricenter Farmers Market,Agricenter Farmers Market,4pqlM6Rav5Zwrt3A4eiemE,,Unsure,
Loudon,Loudon County,37774,unsure,Unsure,Unsure,Grove Street,Wharf Street Farmers Market,Wharf Street Farmers Market,Wharf Street Farmers Market,4qTJ8qLdnR9SxZ3RXSqnbO,,Unsure,
Murfreesboro,Rutherford County,37127,Rutherford farmers market ,Rutherford County Farmers Market,Rutherford County Farmers Market,Rutherford county farmers market ,Rutherford County Farmers Market,Rutherford County Farmers Market,Rutherford County Farmers Market,4qZPLbBjVvfzG5ogRd3wqL,,Rutherford County Farmers Market,
Memphis,Shelby County,38108,poplar,Not a farmers market,Collierville Farmers Market,Ppplar,Not Farmers Market,Collierville Farmers Market,Collierville Farmers Market,4qboybzyxTw38yzORiE0hG,SP,,
Knoxville,Knox County,37938,Market square ,Market Square Farmers Market,Market Square Farmers Market,,,NA, ,4qo07WxoaL9GSlh7KayUhi,,Market Square Farmers Market,
Knoxville,Knox County,37917,unsure,Unsure,Unsure,Market Square,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,4rrhv2e2sMAbHoRz6UNbTF,,Unsure,
,,72301,unsure,Unsure,,unsure ,Unsure,,,4s2wYggGe2THpGKfYMpZWL,,,
Puryear,Henry County,38251,Unsure,Unsure,Unsure,,,NA, ,4sD3yBdnXXuwyu1uPX5wGA,,Unsure,
Hendersonville,Sumner County,37075,Hendersonville ,Hendersonville Farmers Market,Henderson Farmers Market,,,NA, ,4sEZnJTaMRqYrr0qSes6f3,,Hendersonville Farmers Market,AR
,,72354,NEA,Unsure,,NEA,Unsure,,,4tFA3JqwLMNGn1mCw7E1EL,,,
,,42134,Main Street,,,Main Street Market ,,,,4tIYooGi7SzLwYSH7Vjx0d,,,
Pulaski,Giles County,38478,Giles county farmers market  One public square Pulaski TN 38478,Giles County Farmers Market,Giles County Farmers Market,Giles county farmers market  One public square Pulaski TN 38478,Giles County Farmers Market,Giles County Farmers Market,Giles County Farmers Market,4tzgDYDaNqdfGdC2BSrd69,,Giles County Farmers Market,
Memphis,Shelby County,38128,Unsure,Unsure,Unsure,Food trucks,Not Farmers Market,Not Farmers Market,Not Farmers Market,4u3fxhOCoNOWIMc5q5qx1O,,Unsure,
Michie,McNairy County,38357,"Michie farmers market,601 N. Front st, michie, tn 38357",Michie Farmers Market,Bolivar Farmers Market,,,NA, ,4uIfnslsL8Rzitct0c59ad,,Michie Farmers Market,AR
Alcoa,Blount County,37701,Rule street maryville,Not a farmers market,Maryville Farmers Market,Maryville tn,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,4upvwQQQDUHEToaA1wmqKF,,Not a farmers market,AR
Memphis,Shelby County,38116,Germantown ,Cordova International Farmers Market,Farm Park Farmers Market,,,NA, ,4v1tW8bGOAxZSLR04x1YTn,,Cordova International Farmers Market,AR
Knoxville,Knox County,37921,unsure,Unsure,Unsure,,,NA, ,4v7vaiZ6rdCKFHDn53nWch,,Unsure,
Nashville,Davidson County,37208,8th and Monroe ,Not a farmers market,Nashville Farmers Market,,,NA, ,4vT1aaPDw9FpFOTjkYJcOw,,Not a farmers market,AR
Centerville,Hickman County,37033,Unsure,Unsure,Unsure,Centerville ,Centerville Farmers Market,Centerville Farmers Market,Centerville Farmers Market,4vUGgbDKtFTYE8lgTrXaw1,,Unsure,
Memphis,Shelby County,38117,Unsure ,Unsure,Unsure,Main street ,Memphis Farmers Market,Memphis Farmers Market,Memphis Farmers Market,4voQKRgwNtKTDSMLSctc6u,,Unsure,
Murfreesboro,Rutherford County,37129,main,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Rosa Parks,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,4vqf2TblEHRDMjPDXpkDxg,,Main Street Murfreesboro Farmers Market,
,,38655,Bramlett,Not a farmers market,,Bramlett ,Not Farmers Market,,,4wnqpFL5GnYpQJqXD9MLLH,,,
Brentwood,Williamson County,37027,"Forest Hills UMC Market, 1250 old hickory Blvd.",Forest Hills UMC Farmers Market,Forest Hills UMC Farmers Market,,,NA, ,4wwctioKTBzUm67zOpNhZp,,Forest Hills UMC Farmers Market,
Murfreesboro,Rutherford County,37129,Unsure,Unsure,Unsure,,,NA, ,4yCRFFOX1LoL3XXaebXvJd,,Unsure,
Millington,Shelby County,38053,Unsure,Unsure,Unsure,,,NA, ,4yRxuufXOsWrJFQFW2W9Ky,,Unsure,
Nashville,Davidson County,37218,Unsure ,Unsure,Unsure,Broadway ,,Nashville Farmers Market,,4yhIElKL66RGbW6Y7TveTm,0,Unsure,
Clarksville,Montgomery County,37042,Clarksville downtown market ,Clarksville Farmers Market,Clarksville Farmers Market,Public square,Clarksville Farmers Market,Not Farmers Market,Clarksville Farmers Market,4ysOVbrDZnxaiwUoPkbPJS,AR,Clarksville Farmers Market,
Mascot,Knox County,37806,Millertown Pike ,Circle Farmers Market,New Harvest Farmers Market,,,NA, ,4ythpQDn3aurgZtkyBGgYo,,Circle Farmers Market,AR
Memphis,Shelby County,38106,Unsure,Unsure,Unsure,Mississippi blvd,South Memphis Farmers Market,Memphis Farmers Market,South Memphis Farmers Market,4zASLTk0VcQzjq9dU5pqbA,AR,Unsure,
Madison,Davidson County,37115,Rosa parks,Nashville Farmers Market,Nashville Farmers Market,,,NA, ,4zX7TVa2WOpycfqZB49HLD,,Nashville Farmers Market,
Nashville,Davidson County,37214,Donelson pike,Hip Donelson Farmers Market,Nashville Farmers Market,Donelson farmers market,Hip Donelson Farmers Market,Nashville Farmers Market,Hip Donelson Farmers Market,4ziy96AR8EZPxNDl7imnhn,AR,,
Memphis,Shelby County,38115,I was thinking about that but then remembered that you said ,,NA,E be like you go do ioi The only thing I ,Unsure,NA,,4zt7lxN7M1AUR5F69XDTZU,,,
Mount Juliet,Wilson County,37122,Mt. Juliet FarmerÃ¢ÂÂs Market,Mt. Juliet Farmers Market,Mt. Juliet Farmers Market,,,NA, ,50M18pJXuGsGb3oU4N2Yzl,,Mt. Juliet Farmers Market,
Hermitage,Davidson County,37076,Unsure ,Unsure,Unsure,Plaza mariachi,Not Farmers Market,Not Farmers Market,Not Farmers Market,50oUEZZUMT8FkIkTufIaqy,,Unsure,
Crossville,Cumberland County,38572,Unsure,Unsure,Unsure,Not sure but it is in Crossville TN.,Unsure,Unsure,Unsure,50q3SAs4ZSFYJ32AWoGsHY,,Unsure,
Knoxville,Knox County,37919,Marquet square,Market Square Farmers Market,Market Square Farmers Market,Market square ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,50xp2dj7W3nQJZNxxTCKfi,,Market Square Farmers Market,
,,40831,Unsure ,Unsure,,,,, ,51KgtL4WLNakc1acGkz5Yc,,,
Memphis,Shelby County,38112,Memphis Agricenter,Agricenter Farmers Market,Agricenter Farmers Market,,,NA, ,51iidUi5BQfx9XLUXpsxRD,,Agricenter Farmers Market,
Nashville,Davidson County,37211,"the Chattanooga Market, located at 1801 Reggie White Blvd, Chattanooga, TN 37408.",Chattanooga Market,Nashville Farmers Market,I usually go to the Chattanooga market,Chattanooga Market,Main Street Murfreesboro Farmers Market,Chattanooga Market,51kh83bRqJvOFe7xr184xb,AR,Chattanooga Market,AR
Murfreesboro,Rutherford County,37129,Unsure ,Unsure,Unsure,Local farmers market ,Unsure,Main Street Murfreesboro Farmers Market,,52NIIt2AaBtmpSxMpRDNs2,,Unsure,
Memphis,Shelby County,38118,Cooper-Young Community Farmers Market.,Cooper-Young Farmers Market,Cooper-Young Farmers Market,Memphis Farmers Market.,Memphis Farmers Market,Memphis Farmers Market,Memphis Farmers Market,52eciicPdPXtPgZg8QbR0Q,,Cooper-Young Farmers Market,
Summertown,Lawrence County,38483,Unsure,Unsure,Unsure,,,NA, ,52q3LN0IUz5YJ9pbUI21rg,,Unsure,
Halls,Lauderdale County,38040,Unsure ,Unsure,Unsure,,,NA, ,533qKgBRLZIFkE1KLykM7V,,Unsure,
Fairview,Williamson County,37062,Fairview Farmers Market,Fairview Farmers Market,Fairview Farmers Market,Franklin Farmers Market,Franklin Farmers Market,Franklin Farmers Market,Franklin Farmers Market,53OvZcypAi95Qqsau1K17z,,Fairview Farmers Market,
Murfreesboro,Rutherford County,37129,Murfreesboro tn,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,,,NA, ,53PcnfCeSlgdabO7ir4AUA,,Main Street Murfreesboro Farmers Market,
Nashville,Davidson County,37203,1 Public Square,,Nashville Farmers Market,Nashville city farmer market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,53WDMausruddUJIg3XVLbH,,,0
,,42240,9Th,,,,,, ,53xFlq3zTamUFjj6s6deON,,,
