primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Winchester,Franklin County,37398,Unsure ,Unsure,Unsure,,,NA, ,0Hi4pkCbzS5IDosNVQGbD5,,Unsure,
Sweetwater,Monroe County,37874,"Sweetwater, Tn",Unsure,Main Street Farmers Market,"Sweetwater, Tn",Unsure,Main Street Murfreesboro Farmers Market,Unsure,0HnyUbu98tPUGjn16nY2OS,AR,,
Heiskell,Anderson County,37754,Unsure,Unsure,Unsure,I donÃ¢ÂÂt rememebr,,NA,,0Hw3h0Dkj0mi0QSUkJEFkZ,,Unsure,
Maryville,Blount County,37801,Unsure ,Unsure,Unsure,Blount co farmers market ,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,0IFY3qmbklaWU5tDnuG3YH,,Unsure,
Lafayette,Macon County,37083,Unsure,Unsure,Unsure,,,NA, ,0IKTCF0tsA1QGf0ZN5sJeO,,Unsure,
Clarksville,Montgomery County,37042,Unsure,Unsure,Unsure,Farmer's Market on Mamo Street,Not Farmers Market,Not Farmers Market,Not Farmers Market,0IerrCQtK9KqgSiHhvKfte,,Unsure,
Knoxville,Knox County,37931,Unsure,Unsure,Unsure,Market square,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,0Im1yR35vtE14QMq8xt4SY,,Unsure,
Murfreesboro,Rutherford County,37128,Unsure,Unsure,Unsure,Nashville FarmerÃ¢ÂÂs Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0JTEI67g1rmzz9ORuS6cHc,,Unsure,
Memphis,Shelby County,38106,Unsure,Unsure,Unsure,Sam's club,Not Farmers Market,Not Farmers Market,Not Farmers Market,0JUm43H6xW0egkeLO15DBo,,Unsure,
Nashville,Davidson County,37210,8th avenue South,Not a farmers market,Nashville Farmers Market,Nashville Farmers market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0Je8T1afstMAYjuJjUHDfU,,Nashville Farmers Market,SP
Manchester,Coffee County,37355,Unsure ,Unsure,Unsure,,,NA, ,0Jf3O1uDcjfkqTojeRkA2Z,,Unsure,
Memphis,Shelby County,38133,Graceland st,Whitehaven Farmers Market,Memphis Farmers Market,Berry ave,Not Farmers Market,Not Farmers Market,Not Farmers Market,0JiPWVaKycMrQIPVYfCFYy,,Whitehaven Farmers Market,AR
